speed1,speed2,pid1,ad2,lqg3,control
0,0,0,0,0.6849,1
0,0,0.0019,0,0.685,1
0,0,0.0037,0.0001,0.6851,1
0,0,0.0056,0.0001,0.6852,1
0,0,0.0074,0.0001,0.6853,1
0,0,0.0092,0.0002,0.6854,1
0,0,0.011,0.0002,0.6855,1
0,0,0.0128,0.0003,0.6856,1
0,0,0.0145,0.0003,0.6857,1
0,0,0.0163,0.0003,0.6858,1
2000,2000,0.7683,0.7523,0.7342,2
2000,2000,0.7717,0.7533,0.7343,2
2000,2000,0.7738,0.7542,0.7344,2
2000,2000,0.776,0.7551,0.7345,2
2000,2000,0.7781,0.756,0.7346,2
2000,2000,0.7802,0.757,0.7347,2
2000,2000,0.7823,0.7579,0.7348,2
2000,2000,0.7843,0.7588,0.735,2
2000,2000,0.7864,0.7597,0.7351,2
2000,2000,0.7885,0.7606,0.7352,2
2000,2000,0.7905,0.7615,0.7353,2
2000,2000,0.7925,0.7624,0.7354,2
2000,2000,0.7936,0.7633,0.7355,2
2000,2000,0.7947,0.7642,0.7356,2
2000,2000,0.7958,0.7651,0.7358,2
2000,2000,0.7968,0.766,0.7359,2
2000,2000,0.7979,0.7669,0.736,2
2000,2000,0.799,0.7677,0.7361,2
2000,2000,0.8,0.7686,0.7362,2
2000,2000,0.8011,0.7695,0.7363,2
2000,2000,0.8021,0.7704,0.7364,2
2000,2000,0.8032,0.7712,0.7366,2
2000,2000,0.8023,0.7721,0.7367,2
2000,2000,0.8015,0.7729,0.7368,2
2000,2000,0.8006,0.7737,0.7369,2
2000,2000,0.7998,0.7745,0.737,2
2000,2000,0.799,0.7754,0.7371,2
2000,2000,0.7982,0.7762,0.7372,2
2000,2000,0.7974,0.777,0.7373,2
2000,2000,0.7966,0.7778,0.7375,2
2000,2000,0.7959,0.7786,0.7376,2
2000,2000,0.7951,0.7795,0.7377,2
2000,2000,0.7958,0.7803,0.7378,2
2000,2000,0.7964,0.7811,0.7379,2
2000,2000,0.7971,0.782,0.738,2
2000,2000,0.7977,0.7828,0.7381,2
2000,2000,0.7984,0.7836,0.7382,2
2000,2000,0.799,0.7845,0.7384,2
2000,2000,0.7997,0.7853,0.7385,2
2000,2000,0.8003,0.7861,0.7386,2
2000,2000,0.801,0.787,0.7387,2
2000,2000,0.8016,0.7878,0.7388,2
2000,2000,0.8026,0.7886,0.7389,2
2000,2000,0.8036,0.7894,0.739,2
2000,2000,0.8046,0.7903,0.7391,2
2000,2000,0.8056,0.7911,0.7393,2
2000,2000,0.8066,0.7919,0.7394,2
2000,2000,0.8075,0.7927,0.7395,2
2000,2000,0.8085,0.7935,0.7396,2
2000,2000,0.8095,0.7943,0.7397,2
2000,2000,0.8105,0.7952,0.7398,2
2000,2000,0.8114,0.796,0.7399,2
2000,2000,0.8113,0.7968,0.74,2
2000,2000,0.8111,0.7975,0.7402,2
2000,2000,0.8109,0.7983,0.7403,2
2000,2000,0.8108,0.7991,0.7404,2
2000,2000,0.8106,0.7999,0.7405,2
2000,2000,0.8105,0.8007,0.7406,2
2000,2000,0.8104,0.8014,0.7407,2
2000,2000,0.8102,0.8022,0.7408,2
2000,2000,0.8101,0.803,0.7409,2
2000,2000,0.81,0.8038,0.741,2
2000,2000,0.8103,0.8045,0.7412,2
2000,2000,0.8105,0.8053,0.7413,2
2000,2000,0.8108,0.8061,0.7414,2
2000,2000,0.8111,0.8069,0.7415,2
2000,2000,0.8113,0.8076,0.7416,2
2000,2000,0.8116,0.8084,0.7417,2
2000,2000,0.8119,0.8092,0.7418,2
2000,2000,0.8121,0.8099,0.7419,2
2000,2000,0.8124,0.8107,0.742,2
2000,2000,0.8127,0.8115,0.7421,2
2000,2000,0.8142,0.8123,0.7423,2
2000,2000,0.8157,0.813,0.7424,2
2000,2000,0.8171,0.8138,0.7425,2
2000,2000,0.8186,0.8146,0.7426,2
2000,2000,0.8201,0.8154,0.7427,2
2000,2000,0.8215,0.8162,0.7428,2
2000,2000,0.823,0.8169,0.7429,2
2000,2000,0.8244,0.8177,0.743,2
2000,2000,0.8258,0.8185,0.7431,2
2000,2000,0.8272,0.8192,0.7432,2
2000,2000,0.8305,0.82,0.7434,2
2000,2000,0.8337,0.8208,0.7435,2
2000,2000,0.8369,0.8216,0.7436,2
2000,2000,0.8401,0.8224,0.7437,2
2000,2000,0.8432,0.8232,0.7438,2
2000,2000,0.8464,0.824,0.7439,2
2000,2000,0.8495,0.8248,0.744,2
2000,2000,0.8525,0.8256,0.7441,2
2000,2000,0.8556,0.8264,0.7442,2
2000,2000,0.8586,0.8272,0.7443,2
2000,2000,0.8552,0.8278,0.7445,2
2000,2000,0.8518,0.8285,0.7446,2
2000,2000,0.8484,0.8292,0.7447,2
2000,2000,0.8451,0.8298,0.7448,2
2000,2000,0.8418,0.8305,0.7449,2
2000,2000,0.8385,0.8311,0.745,2
2000,2000,0.8353,0.8318,0.7451,2
2000,2000,0.8321,0.8324,0.7452,2
2000,2000,0.829,0.8331,0.7453,2
2000,2000,0.8259,0.8337,0.7454,2
