speed1,speed2,pid1,ad2,lqg3,control
0,0,0,0,0.6849,1
0,0,0,0,0.685,1
0,0,0,0,0.6851,1
0,0,0,0,0.6851,1
0,0,0,0,0.6852,1
0,0,0,0,0.6853,1
0,0,0,0,0.6853,1
0,0,0,0,0.6854,1
0,0,0,0,0.6855,1
0,0,0,0,0.6855,1
2000,2000,0,0,0.6856,1
2000,2000,0.0051,0.0051,0.6857,1
2000,2000,0.0101,0.0101,0.6858,1
2000,2000,0.0151,0.0151,0.6859,1
2000,2000,0.0201,0.0201,0.6859,1
2000,2000,0.025,0.025,0.686,1
2000,2000,0.0299,0.0299,0.6861,1
2000,2000,0.0347,0.0347,0.6862,1
2000,2000,0.0395,0.0395,0.6863,1
2000,2000,0.0442,0.0442,0.6864,1
2000,2000,0.0489,0.0489,0.6865,1
2000,2000,0.0535,0.0535,0.6866,1
2000,2000,0.0581,0.0581,0.6867,1
2000,2000,0.0627,0.0627,0.6868,1
2000,2000,0.0672,0.0672,0.6869,1
2000,2000,0.0717,0.0717,0.6871,1
2000,2000,0.0761,0.0761,0.6872,1
2000,2000,0.0805,0.0805,0.6873,1
2000,2000,0.0849,0.0849,0.6874,1
2000,2000,0.0892,0.0892,0.6875,1
2000,2000,0.0935,0.0935,0.6876,1
2000,2000,0.0977,0.0977,0.6877,1
2000,2000,0.1019,0.1019,0.6878,1
2000,2000,0.1061,0.1061,0.688,1
2000,2000,0.1102,0.1102,0.6881,1
2000,2000,0.1143,0.1143,0.6882,1
2000,2000,0.1184,0.1184,0.6883,1
2000,2000,0.1224,0.1224,0.6884,1
2000,2000,0.1264,0.1264,0.6885,1
2000,2000,0.1304,0.1304,0.6886,1
2000,2000,0.1343,0.1343,0.6888,1
2000,2000,0.1382,0.1382,0.6889,1
2000,2000,0.1421,0.1421,0.689,1
2000,2000,0.1459,0.1459,0.6891,1
2000,2000,0.1497,0.1497,0.6892,1
2000,2000,0.1535,0.1535,0.6894,1
2000,2000,0.1572,0.1572,0.6895,1
2000,2000,0.1609,0.1609,0.6896,1
2000,2000,0.1646,0.1646,0.6897,1
2000,2000,0.1682,0.1682,0.6898,1
2000,2000,0.1719,0.1719,0.69,1
2000,2000,0.1755,0.1755,0.6901,1
2000,2000,0.179,0.179,0.6902,1
2000,2000,0.1825,0.1825,0.6903,1
2000,2000,0.186,0.186,0.6904,1
2000,2000,0.1895,0.1895,0.6906,1
2000,2000,0.193,0.193,0.6907,1
2000,2000,0.1964,0.1964,0.6908,1
2000,2000,0.1998,0.1998,0.6909,1
2000,2000,0.2032,0.2032,0.691,1
2000,2000,0.2065,0.2065,0.6912,1
2000,2000,0.2098,0.2098,0.6913,1
2000,2000,0.2131,0.2131,0.6914,1
2000,2000,0.2164,0.2164,0.6915,1
2000,2000,0.2196,0.2196,0.6916,1
2000,2000,0.2228,0.2228,0.6918,1
2000,2000,0.226,0.226,0.6919,1
2000,2000,0.2292,0.2292,0.692,1
2000,2000,0.2323,0.2323,0.6921,1
2000,2000,0.2355,0.2355,0.6923,1
2000,2000,0.2386,0.2386,0.6924,1
2000,2000,0.2416,0.2416,0.6925,1
2000,2000,0.2447,0.2447,0.6926,1
2000,2000,0.2477,0.2477,0.6928,1
2000,2000,0.2507,0.2507,0.6929,1
2000,2000,0.2537,0.2537,0.693,1
2000,2000,0.2567,0.2567,0.6931,1
2000,2000,0.2597,0.2597,0.6932,1
2000,2000,0.2626,0.2626,0.6934,1
2000,2000,0.2655,0.2655,0.6935,1
2000,2000,0.2684,0.2684,0.6936,1
2000,2000,0.2712,0.2712,0.6937,1
2000,2000,0.2741,0.2741,0.6939,1
2000,2000,0.2769,0.2769,0.694,1
2000,2000,0.2797,0.2797,0.6941,1
2000,2000,0.2825,0.2825,0.6942,1
2000,2000,0.2853,0.2853,0.6944,1
2000,2000,0.288,0.288,0.6945,1
2000,2000,0.2908,0.2908,0.6946,1
2000,2000,0.2935,0.2935,0.6947,1
2000,2000,0.2962,0.2962,0.6948,1
2000,2000,0.2989,0.2989,0.695,1
2000,2000,0.3015,0.3015,0.6951,1
2000,2000,0.3042,0.3042,0.6952,1
2000,2000,0.3068,0.3068,0.6953,1
2000,2000,0.3094,0.3094,0.6955,1
2000,2000,0.312,0.312,0.6956,1
2000,2000,0.3146,0.3146,0.6957,1
2000,2000,0.3171,0.3171,0.6958,1
2000,2000,0.3197,0.3197,0.696,1
2000,2000,0.3222,0.3222,0.6961,1
2000,2000,0.3247,0.3247,0.6962,1
2000,2000,0.3272,0.3272,0.6963,1
2000,2000,0.3297,0.3297,0.6965,1
2000,2000,0.3322,0.3322,0.6966,1
2000,2000,0.3346,0.3346,0.6967,1
2000,2000,0.3371,0.3371,0.6968,1
2000,2000,0.3395,0.3395,0.6969,1
2000,2000,0.3419,0.3419,0.6971,1
2000,2000,0.3443,0.3443,0.6972,1
2000,2000,0.3467,0.3467,0.6973,1
2000,2000,0.349,0.349,0.6974,1
2000,2000,0.3514,0.3514,0.6976,1
2000,2000,0.3537,0.3537,0.6977,1
2000,2000,0.356,0.356,0.6978,1
2000,2000,0.3584,0.3584,0.6979,1
2000,2000,0.3607,0.3607,0.6981,1
2000,2000,0.3629,0.3629,0.6982,1
2000,2000,0.3652,0.3652,0.6983,1
2000,2000,0.3675,0.3675,0.6984,1
2000,2000,0.3697,0.3697,0.6986,1
2000,2000,0.372,0.372,0.6987,1
2000,2000,0.3742,0.3742,0.6988,1
2000,2000,0.3764,0.3764,0.6989,1
2000,2000,0.3786,0.3786,0.6991,1
2000,2000,0.3808,0.3808,0.6992,1
2000,2000,0.3829,0.3829,0.6993,1
2000,2000,0.3851,0.3851,0.6994,1
2000,2000,0.3872,0.3872,0.6995,1
2000,2000,0.3894,0.3894,0.6997,1
2000,2000,0.3915,0.3915,0.6998,1
2000,2000,0.3936,0.3936,0.6999,1
2000,2000,0.3957,0.3957,0.7,1
2000,2000,0.3978,0.3978,0.7002,1
2000,2000,0.3999,0.3999,0.7003,1
2000,2000,0.402,0.402,0.7004,1
2000,2000,0.404,0.404,0.7005,1
2000,2000,0.4061,0.4061,0.7007,1
2000,2000,0.4081,0.4081,0.7008,1
2000,2000,0.4102,0.4102,0.7009,1
2000,2000,0.4122,0.4122,0.701,1
2000,2000,0.4142,0.4142,0.7011,1
2000,2000,0.4162,0.4162,0.7013,1
2000,2000,0.4182,0.4182,0.7014,1
2000,2000,0.4202,0.4202,0.7015,1
2000,2000,0.4221,0.4221,0.7016,1
2000,2000,0.4241,0.4241,0.7018,1
2000,2000,0.426,0.426,0.7019,1
2000,2000,0.428,0.428,0.702,1
2000,2000,0.4299,0.4299,0.7021,1
2000,2000,0.4318,0.4318,0.7023,1
2000,2000,0.4337,0.4337,0.7024,1
2000,2000,0.4356,0.4356,0.7025,1
2000,2000,0.4375,0.4375,0.7026,1
2000,2000,0.4394,0.4394,0.7027,1
2000,2000,0.4413,0.4413,0.7029,1
2000,2000,0.4432,0.4432,0.703,1
2000,2000,0.445,0.445,0.7031,1
2000,2000,0.4469,0.4469,0.7032,1
2000,2000,0.4487,0.4487,0.7034,1
2000,2000,0.4506,0.4506,0.7035,1
2000,2000,0.4524,0.4524,0.7036,1
2000,2000,0.4542,0.4542,0.7037,1
2000,2000,0.456,0.456,0.7039,1
2000,2000,0.4578,0.4578,0.704,1
2000,2000,0.4596,0.4596,0.7041,1
2000,2000,0.4614,0.4614,0.7042,1
2000,2000,0.4632,0.4632,0.7043,1
2000,2000,0.465,0.465,0.7045,1
2000,2000,0.4667,0.4667,0.7046,1
2000,2000,0.4685,0.4685,0.7047,1
2000,2000,0.4702,0.4702,0.7048,1
2000,2000,0.472,0.472,0.705,1
2000,2000,0.4737,0.4737,0.7051,1
2000,2000,0.4754,0.4754,0.7052,1
2000,2000,0.4772,0.4772,0.7053,1
2000,2000,0.4789,0.4789,0.7054,1
2000,2000,0.4806,0.4806,0.7056,1
2000,2000,0.4823,0.4823,0.7057,1
2000,2000,0.484,0.484,0.7058,1
2000,2000,0.4857,0.4857,0.7059,1
2000,2000,0.4873,0.4873,0.7061,1
2000,2000,0.489,0.489,0.7062,1
2000,2000,0.4907,0.4907,0.7063,1
2000,2000,0.4923,0.4923,0.7064,1
2000,2000,0.494,0.494,0.7065,1
2000,2000,0.4956,0.4956,0.7067,1
2000,2000,0.4973,0.4973,0.7068,1
2000,2000,0.4989,0.4989,0.7069,1
2000,2000,0.5005,0.5005,0.707,1
2000,2000,0.5021,0.5021,0.7071,1
2000,2000,0.5038,0.5038,0.7073,1
2000,2000,0.5054,0.5054,0.7074,1
2000,2000,0.507,0.507,0.7075,1
2000,2000,0.5086,0.5086,0.7076,1
2000,2000,0.5101,0.5101,0.7078,1
2000,2000,0.5117,0.5117,0.7079,1
2000,2000,0.5133,0.5133,0.708,1
2000,2000,0.5149,0.5149,0.7081,1
2000,2000,0.5164,0.5164,0.7082,1
2000,2000,0.518,0.518,0.7084,1
2000,2000,0.5196,0.5196,0.7085,1
2000,2000,0.5211,0.5211,0.7086,1
2000,2000,0.5226,0.5226,0.7087,1
2000,2000,0.5242,0.5242,0.7088,1
2000,2000,0.5257,0.5257,0.709,1
2000,2000,0.5272,0.5272,0.7091,1
2000,2000,0.5288,0.5288,0.7092,1
2000,2000,0.5303,0.5303,0.7093,1
2000,2000,0.5318,0.5318,0.7095,1
2000,2000,0.5333,0.5333,0.7096,1
2000,2000,0.5348,0.5348,0.7097,1
2000,2000,0.5363,0.5363,0.7098,1
2000,2000,0.5378,0.5378,0.7099,1
2000,2000,0.5393,0.5393,0.7101,1
2000,2000,0.5407,0.5407,0.7102,1
2000,2000,0.5422,0.5422,0.7103,1
2000,2000,0.5437,0.5437,0.7104,1
2000,2000,0.5451,0.5451,0.7105,1
2000,2000,0.5466,0.5466,0.7107,1
2000,2000,0.5481,0.5481,0.7108,1
2000,2000,0.5495,0.5495,0.7109,1
2000,2000,0.5509,0.5509,0.711,1
2000,2000,0.5524,0.5524,0.7111,1
2000,2000,0.5538,0.5538,0.7113,1
2000,2000,0.5552,0.5553,0.7114,1
2000,2000,0.5567,0.5567,0.7115,1
2000,2000,0.5581,0.5581,0.7116,1
2000,2000,0.5595,0.5595,0.7117,1
2000,2000,0.5609,0.5609,0.7119,1
2000,2000,0.5623,0.5623,0.712,1
2000,2000,0.5637,0.5637,0.7121,1
2000,2000,0.5651,0.5651,0.7122,1
2000,2000,0.5665,0.5665,0.7123,1
2000,2000,0.5679,0.5679,0.7125,1
2000,2000,0.5693,0.5693,0.7126,1
2000,2000,0.5707,0.5707,0.7127,1
2000,2000,0.572,0.572,0.7128,1
2000,2000,0.5734,0.5734,0.7129,1
2000,2000,0.5748,0.5748,0.7131,1
2000,2000,0.5761,0.5761,0.7132,1
2000,2000,0.5775,0.5775,0.7133,1
2000,2000,0.5789,0.5789,0.7134,1
2000,2000,0.5802,0.5802,0.7135,1
2000,2000,0.5816,0.5816,0.7137,1
2000,2000,0.5829,0.5829,0.7138,1
2000,2000,0.5842,0.5842,0.7139,1
2000,2000,0.5856,0.5856,0.714,1
2000,2000,0.5869,0.5869,0.7141,1
2000,2000,0.5882,0.5882,0.7143,1
2000,2000,0.5895,0.5895,0.7144,1
2000,2000,0.5909,0.5909,0.7145,1
2000,2000,0.5922,0.5922,0.7146,1
2000,2000,0.5935,0.5935,0.7147,1
2000,2000,0.5948,0.5948,0.7148,1
2000,2000,0.5961,0.5961,0.715,1
2000,2000,0.5974,0.5974,0.7151,1
2000,2000,0.5987,0.5987,0.7152,1
2000,2000,0.6,0.6,0.7153,1
2000,2000,0.6013,0.6013,0.7154,1
2000,2000,0.6025,0.6025,0.7156,1
2000,2000,0.6038,0.6038,0.7157,1
2000,2000,0.6051,0.6051,0.7158,1
2000,2000,0.6064,0.6064,0.7159,1
2000,2000,0.6076,0.6076,0.716,1
2000,2000,0.6089,0.6089,0.7162,1
2000,2000,0.6102,0.6102,0.7163,1
2000,2000,0.6114,0.6114,0.7164,1
2000,2000,0.6127,0.6127,0.7165,1
2000,2000,0.6139,0.6139,0.7166,1
2000,2000,0.6152,0.6152,0.7167,1
2000,2000,0.6164,0.6164,0.7169,1
2000,2000,0.6177,0.6177,0.717,1
2000,2000,0.6189,0.6189,0.7171,1
2000,2000,0.6201,0.6201,0.7172,1
2000,2000,0.6214,0.6214,0.7173,1
2000,2000,0.6226,0.6226,0.7175,1
2000,2000,0.6238,0.6238,0.7176,1
2000,2000,0.625,0.625,0.7177,1
2000,2000,0.6262,0.6262,0.7178,1
2000,2000,0.6275,0.6275,0.7179,1
2000,2000,0.6287,0.6287,0.718,1
2000,2000,0.6299,0.6299,0.7182,1
2000,2000,0.6311,0.6311,0.7183,1
2000,2000,0.6323,0.6323,0.7184,1
2000,2000,0.6335,0.6335,0.7185,1
2000,2000,0.6347,0.6347,0.7186,1
2000,2000,0.6359,0.6359,0.7187,1
2000,2000,0.637,0.637,0.7189,1
2000,2000,0.6382,0.6382,0.719,1
2000,2000,0.6394,0.6394,0.7191,1
2000,2000,0.6406,0.6406,0.7192,1
2000,2000,0.6418,0.6418,0.7193,1
2000,2000,0.6429,0.6429,0.7194,1
2000,2000,0.6441,0.6441,0.7196,1
2000,2000,0.6453,0.6453,0.7197,1
2000,2000,0.6464,0.6464,0.7198,1
2000,2000,0.6476,0.6476,0.7199,1
2000,2000,0.6487,0.6487,0.72,1
2000,2000,0.6499,0.6499,0.7201,1
2000,2000,0.651,0.651,0.7203,1
2000,2000,0.6522,0.6522,0.7204,1
2000,2000,0.6533,0.6533,0.7205,1
2000,2000,0.6545,0.6545,0.7206,1
2000,2000,0.6556,0.6556,0.7207,1
2000,2000,0.6567,0.6567,0.7208,1
2000,2000,0.6579,0.6579,0.721,1
2000,2000,0.659,0.659,0.7211,1
2000,2000,0.6601,0.6601,0.7212,1
2000,2000,0.6613,0.6613,0.7213,1
2000,2000,0.6624,0.6624,0.7214,1
2000,2000,0.6635,0.6635,0.7215,1
2000,2000,0.6646,0.6646,0.7217,1
2000,2000,0.6657,0.6657,0.7218,1
2000,2000,0.6668,0.6668,0.7219,1
2000,2000,0.6679,0.6679,0.722,1
2000,2000,0.669,0.669,0.7221,1
2000,2000,0.6701,0.6701,0.7222,1
2000,2000,0.6712,0.6712,0.7224,1
2000,2000,0.6723,0.6723,0.7225,1
2000,2000,0.6734,0.6734,0.7226,1
2000,2000,0.6745,0.6745,0.7227,1
2000,2000,0.6756,0.6756,0.7228,1
2000,2000,0.6767,0.6767,0.7229,1
2000,2000,0.6778,0.6778,0.7231,1
2000,2000,0.6789,0.6789,0.7232,1
2000,2000,0.6799,0.6799,0.7233,1
2000,2000,0.681,0.681,0.7234,1
2000,2000,0.6821,0.6821,0.7235,1
2000,2000,0.6831,0.6831,0.7236,1
2000,2000,0.6842,0.6842,0.7237,1
2000,2000,0.6853,0.6853,0.7239,1
2000,2000,0.6863,0.6863,0.724,1
2000,2000,0.6874,0.6874,0.7241,1
2000,2000,0.6884,0.6884,0.7242,1
2000,2000,0.6895,0.6895,0.7243,1
2000,2000,0.6905,0.6905,0.7244,1
2000,2000,0.6916,0.6916,0.7246,1
2000,2000,0.6926,0.6926,0.7247,1
2000,2000,0.6937,0.6937,0.7248,1
2000,2000,0.6947,0.6947,0.7249,1
2000,2000,0.6958,0.6958,0.725,1
2000,2000,0.6968,0.6968,0.7251,1
2000,2000,0.6978,0.6978,0.7252,1
2000,2000,0.6989,0.6989,0.7254,1
2000,2000,0.6999,0.6999,0.7255,1
2000,2000,0.7009,0.7009,0.7256,1
2000,2000,0.7019,0.7019,0.7257,1
2000,2000,0.703,0.703,0.7258,1
2000,2000,0.704,0.704,0.7259,1
2000,2000,0.705,0.705,0.726,1
2000,2000,0.706,0.706,0.7262,1
2000,2000,0.707,0.707,0.7263,1
2000,2000,0.708,0.708,0.7264,1
2000,2000,0.709,0.709,0.7265,1
2000,2000,0.71,0.71,0.7266,1
2000,2000,0.711,0.711,0.7267,1
2000,2000,0.712,0.712,0.7268,1
2000,2000,0.713,0.713,0.727,1
2000,2000,0.714,0.714,0.7271,1
2000,2000,0.715,0.715,0.7272,1
